"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3102.968,3905.838,4500.162,5039.578,5371.167,5615.85,5984.943,6336.896,6908.947,7421.495,8081.47,8810.743,9503.018,9529.309,9803.095,10217.605,10491.935,11150.258,11490.973,12125.425,12662.712,13334.22,14395.325,15744.164,15488.97,17287.092,19346.667,20431.303,21498.089,22610.557,23782.989,25019.166,26318.619,27694.22
Botswana,2009.159,2335.426,2771.033,3076.675,3274.48,3508.519,3749.49,4258.285,5249.109,5509.165,5993.808,6392.524,6340.399,6567.7,6481.477,6999.182,7131.906,7598.03,7402.577,7957.573,8341.78,8556.748,9163.06,9676.335,9900.725,10527.952,11293.327,12032.419,12408.553,10501.132,11465.868,12254.461,12224.218,13551.884,14295.545,13461.529,14275.551,14817.571,14805.292,14863.165,14179.519,16663.869,18531.478,19391.042,19723.373,20797.624,21867.082,22806.357,23793.989,24843.853
Brazil,4427.939,4532.319,4736.64,4653.791,4971.614,5420.615,5828.799,6070.43,6186.153,6518.464,6291.047,6460.698,6470.632,6823.181,7225.904,7584.731,7669.11,7941.583,7934.334,7963.272,8333.612,8527.042,8813.197,8982.016,9643.571,10151.103,10761.746,11605.183,12309.433,12252.012,13226.64,13935.215,14356.717,14922.341,15138.365,14621.149,14173.734,14523,15432.162,16035.469,16062.817,18028.1,19824.369,21052.021,22122.71,22927.777,23799.24,24728.367,25723.689,26770.984
Brunei Darussalam,no data,no data,no data,no data,no data,43358.935,42194.139,42693.542,43277.396,43606.237,44449.649,46110.102,48162.971,48315.453,49523.229,51685.945,52823.383,51680.249,50659.524,51708.139,53063.377,54399.764,56160.013,57859.995,58715.367,59739.896,63232.401,64078.501,63192.61,61622.34,62883.92,65472.091,66400.915,65342.145,64129.222,63711.821,62001.508,62579.075,65329.381,68074.251,70673.187,80202.909,83632.759,86866.545,91046.396,95038.768,99303.946,103861.004,108584.963,113735.98
Bulgaria,5075.912,5833.355,6435.457,6870.849,7433.199,7800.683,8382.133,9005.613,9572.508,9941.654,9434.622,8778.657,8308.064,7604.191,7571.294,7692.925,8328.332,7332.349,7749.849,7233.81,7658.695,8396.821,9080.155,9799.964,10774.201,11961.358,13236.676,14574.087,15835.204,15486.795,16043.632,17122.202,17674.539,17973.718,18571.836,19512.2,20442.16,21536.798,23088.009,25616.355,25800.987,29573.251,34923.426,36860.958,39185.322,41505.736,43801.992,46158.884,48679.873,51278.395
Burkina Faso,385.644,423.292,444.72,445.229,456.834,511.186,547.281,544.449,580.573,600.273,602.976,662.944,663.098,685.072,691.258,727.211,801.354,844.703,891.767,942.722,953.406,1008.217,1036.102,1104.177,1148.05,1246.727,1323.559,1373.03,1437.701,1446.388,1541.632,1628.553,1713.18,1788.638,1842.793,1876.221,1948.853,2047.3,2080.425,2232.881,2374.434,2462.901,2612.137,2712.681,2850.074,2986.122,3105.713,3227.755,3355.238,3488.783
Burundi,375.248,447.597,456.859,478.37,482.272,540.318,552.907,580.767,613.521,627.786,654.62,695.505,698.632,671.751,648.583,598.525,550.588,553.312,575.887,573.625,579.678,585.047,590.407,602.544,623.349,667.936,704.67,726.937,752.143,760.538,784.134,807.552,833.333,862.512,888.104,836.3,813.16,806.067,798.297,828.282,835.666,886.893,939.301,969.884,985.645,1008.62,1042.591,1083.948,1130.173,1173.218
Cabo Verde,860.499,1005.966,1078.431,1202.696,1266.219,1389.5,1428.145,1495.297,1606.878,1727.327,1764.223,1806.724,1859.094,1993.898,2184.803,2336.273,2476.896,2649.62,2841.144,3155.319,3391.322,3608.873,3787.582,4079.561,4324.994,4651.136,5163.983,6039.199,6518.012,6391.492,6516.886,6873.298,7037.488,7162.333,7296.962,7392.519,7750.226,8213.839,8168.715,8892.673,7052.22,7876.348,9861.034,10681.55,11397.066,12087.994,12807.467,13561.819,14345.362,15176.077
Cambodia,no data,no data,no data,no data,no data,no data,no data,632.667,697.709,727.169,738.657,793.881,839.166,862.709,914.547,958.4,1003.552,1033.31,1066.756,1191.255,1319.783,1426.036,1514.304,1675.753,1853.424,2131.189,2398.332,2675.944,2884.508,2972.231,3110.51,3351.519,3616.295,3903.362,4220.442,4493.536,4816.529,5213.911,5777.847,6308.101,6083.353,6368.944,7064.245,7608.157,8136.533,8677.668,9295.347,9943.632,10628.833,11359.158
Cameroon,1309.862,1630.841,1811.6,1957.794,2122.921,2306.106,2444.869,2383.59,2208.808,2188.425,2066.112,1994.166,1918.924,1846.697,1785.825,1832.21,1904.086,1984.291,2047.494,2101.963,2161.344,2224.664,2306.672,2404.524,2561.291,2602.296,2702.377,2811.24,2867.308,2880.18,2919.414,3000.106,3107.693,3229.231,3382.72,3509.89,3604.752,3700.341,3945.571,4180.421,4313.605,4739.235,5137.146,5361.094,5565.668,5764.117,5978.9,6223.61,6489.153,6764.12
