"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Malta,6089.329,6785.883,7169.399,7369.22,7758.699,8126.818,8380.562,9013.598,9899.634,10912.248,11732.754,12509.764,13682.121,14413.379,15245.986,16490.047,17372.468,18382.633,19082.84,19968.166,20095.249,20253.68,20959.758,22015.135,22553.139,23763.592,24924.409,26848.357,28417.222,27980.968,29851.183,30697.678,32352.71,34562.709,37238.822,40238.545,41271.02,46440.757,49009.127,52470.855,50004.825,58476.852,64634.131,69181.837,72941.905,75821.658,78516.894,81284.311,84202.106,87296.188
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2107.205,2085.832,2054.257,2140.055,2376.65,2540.403,2534.466,2560.984,2650.434,2721.629,2880.468,2678.326,2803.869,2959.348,2991.826,3042.265,3257.077,3328.4,3494.184,3704.853,4048.219,4525.061,5220.392,5167.479,5664.493,6147.309,6270.541,6687.864,6991.762,7262.81,7520.998,7750.018,7986.103
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2886.146,2903.868,2940.724,3099.936,2984.517,3253.449,3408.213,3233.899,3266.885,3337.927,3186.713,3140.179,3140.712,3327.563,3479.136,3789.861,4770.379,4671.577,4619.363,4531.977,4588.906,4756.492,4938.38,5106.932,5292.297,5500.154,5492.643,5806.925,5932.326,6175.817,6367.42,6517.749,7295.056,7874.978,8233.316,8548.412,8875.897,9307.108,9862.622,10265.489
Mauritius,2012.496,2298.173,2543.047,2628.487,2823.708,3087.967,3430.697,3844.154,4220.842,4547.253,5020.568,5362.403,5765.447,6128.945,6428.111,6785.666,7221.778,7667.521,8138.483,8362.159,9161.662,9592.968,9832.047,10549.502,11228.299,11679.253,12524.3,13538.506,14490.181,15022.927,15833.378,16792.08,17653.713,18516.658,19520.509,20402.015,21380.588,22600.857,23067.147,24036.802,21325.955,22781.577,26629.86,29511.256,32062.706,33954.419,35971.502,38101.56,40355.91,42744.131
Mexico,6486.052,7596.879,7875.467,7627.479,7997.262,8224.861,7889.91,8082.756,8301.21,8766.114,9388.919,9902.055,10294.824,10645.48,11152.282,10533.25,11211.424,12042.276,12748.997,13111.388,13900.842,13957.268,13942.988,14189.513,14891.8,15476.879,16486.01,17023.663,17241.842,16003.763,16747.819,17425.431,18129.239,18355.915,18913.756,19393.676,19728.461,20262.587,20685.338,20742.271,19137.29,20758.733,22885.648,24248.718,24971.323,25556.557,26345.599,27239.728,28135.47,29062.233
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2043.785,2006.992,1910.293,1981.886,2027.822,2164.528,2259.684,2311.264,2405.004,2397.442,2536.803,2623.314,2661.695,2656.677,2716.605,2821.238,2965.431,2962.632,2903.637,2887.162,3061.595,3147.702,3300.88,3433.184,3668.476,3692.697,4027.33,4331.258,4526.908,4689.468,4857.026,5002.369,5135.508,5268.037,5402.202
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5110.43,5182.202,3653.24,3680.633,3538.136,3668.893,3474.375,3409.212,3568.425,3879.137,4257.845,4642.425,5129.984,5704.301,6177.653,6550.752,7208.221,6824.819,7405.002,7999.507,8100.498,8988.141,9608.573,9748.365,10348.673,11151.883,11767.521,13325.644,13533.398,15735.123,16307.5,17320.302,18524.015,19909.457,21561.076,23476.99,25567.024,27840.204
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3140.261,2877.39,2621.732,2574.87,2660.854,2847.054,2920.982,3045.036,3137.71,3233.715,3303.648,3492.161,3682.859,3984.315,4429.767,4809.995,5296.279,5832.149,6299.888,6092.565,6510.457,7653.188,8584.877,9540.031,10242.007,10372.158,10414.996,10994.843,12202.275,13484.51,13569.451,14678.605,16289.073,17883.657,19063.366,20514.334,21866.179,23203.11,24610.516,25993.578
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30007.337,31858.01,33620.151,35253.748,36960.075,38747.224,40621.251
Morocco,1475.866,1530.926,1736.534,1752.884,1851.033,1983.193,2140.467,2088.194,2333.648,2426.151,2608.479,2845.238,2773.562,2760.872,3089.888,2911.572,3316.55,3259.702,3510.343,3529.989,3617.778,3925.445,4064.06,4348.158,4618.612,4842.165,5310.116,5530.714,5896.409,6107.69,6338.834,6726.033,6972.098,7323.531,7561.187,7880.072,7912.473,8372.935,8054.832,8309.034,7958.078,8908.245,9594.767,10180.615,10615.06,11095.823,11581.799,12090.755,12624.923,13183.98
Mozambique,197.203,221.271,213.768,183.5,175.003,180.51,179.288,211.106,236.997,261.317,269.985,289.8,264.464,288.544,301.574,303.563,331.954,367.519,400.02,442.301,443.749,497.724,538.309,571.296,616.316,656.528,723.164,777.687,824.246,854.782,897.983,955.268,1022.309,1077.771,1148.411,1209.969,1242.633,1261.14,1307.33,1370.398,1393.756,1440.46,1566.912,1664.707,1729.561,1786.539,1839.003,1893.042,2064.905,2253.255
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,668.384,724.601,822.005,934.205,1032.531,1182.044,1390.085,1618.132,1878.589,2157.208,2349.833,2451.705,2593.606,2771.519,2982.865,3246.289,3543.053,3810.043,4058.388,4333.596,5148.741,5681.22,5842.918,4687.535,4792.526,5061.102,5205.768,5330.054,5474.613,5632.122,5804.133,5991.928
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3995.348,4173.134,4495.543,4381.746,4474.209,4663.9,4765.809,4922.032,5011.07,5122.305,5290.164,5415.303,5754.757,5976.72,6459.842,6886.933,7287.378,7657.531,7903.323,7861.957,8311.909,8774.725,9219.314,9648.049,10146.954,10401.038,10225.78,10026.028,9993.113,9746.354,9496.984,9851.91,10801.167,11349.849,11730.163,12199.878,12605.275,12917.978,13262.893,13616.553
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4350.459,4512.898,5388.211,4347.717,5245.151,4896.165,4770.264,5466.684,6957.483,7026.417,7645.975,7580.587,7681.721,7178.985,7461.966,8617.155,8734.165,9603.515,10395.975,10625.931,10829.327,10962.055,11121.709,11281.144,11355.432,11541.341
Nepal,491.352,569.449,613.091,603.918,670.64,717.819,748.785,763.807,833.656,883.807,936.323,1003.318,1038.855,1075.034,1159.484,1196.801,1256.809,1318.799,1346.575,1400.856,1494.437,1588.447,1591.091,1663.481,1766.121,1864.715,1969.373,2076.493,2231.672,2334.597,2464.505,2591.423,2756.452,2896.799,3115.262,3251.638,3267.069,3582.688,3896.863,4198.841,4180.437,4461.469,4963.978,5153.126,5348.118,5613.554,5897.423,6195.949,6510.783,6843.268
Netherlands,12159.352,13131.822,13689.968,14421.976,15349.494,16188.863,16942.432,17579.808,18905.124,20401.554,21920.076,23034.699,23746.161,24438.533,25539.795,26747.917,28041.152,29595.886,31147.056,32956.106,34897.816,36233.07,36616.016,37174.005,38785.378,40694.418,43357.67,46193.838,47946.176,46244.648,47167.864,48758.716,48961.992,49633.383,51160.415,52507.542,54041.11,56200.904,58992.326,62571.485,62718.576,69551.931,77728.83,79586.245,81494.628,83822.682,86331.437,89019.2,91528.652,94032.137
New Zealand,9765.624,10948.439,11866.946,12199.696,13372.289,13828.266,14232.555,14808.723,15275.029,15778.972,16181.228,16082.202,16390.215,17454.743,18573.296,19597.016,20445.795,21033.329,21170.825,22307.233,23633.265,24605.703,25736.373,26886.053,28513.945,30007.054,31427.999,33087.614,33322.089,32823.884,33418.381,34455.357,35780.313,36929.596,38360.145,39312.897,40346.247,41575.057,41973.373,44631.999,44698.69,47434.233,51870.759,52856.074,52983.046,54038.01,55414.919,56781.341,58179.658,59648.373
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2333.677,2450.605,2582.559,2660.784,2735.484,2911.198,3037.734,3133.818,3142.142,3219.192,3413.228,3596.979,3821.694,4070.732,4236.185,4050.078,4226.464,4529.092,4769.537,5037.228,5314.893,5563.345,5811.748,6126.156,5857.122,5917.896,6316.56,7201.746,7922.05,8492.336,8949.812,9361.174,9766.881,10188.339,10627.498,11085.715
Niger,634.505,670.452,702.97,678.673,565.586,608.322,639.228,635.32,681.335,692.95,687.662,685.252,691.363,686.225,689.797,697.261,686.411,684.417,734.625,717.233,698.932,739.234,759.315,762.562,757.282,807.638,849.543,866.807,916.531,905.136,957.234,961.98,1041.771,1073.013,1119.705,1134.831,1165.516,1198.809,1258.698,1399.988,1466.542,1545.922,1784.908,1824.328,1978.174,2084.064,2171.813,2270.358,2364.426,2463.045
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1738.676,1742.612,1776.067,1801.03,1798.794,1824.893,1886.063,1925.431,1946.562,1935.488,2036.912,2166.53,2458.739,2676.743,2959.037,3182.345,3410.91,3662.018,3896.636,4136.551,4535.43,4726.949,4888.177,5101.154,5372.381,5420.667,5244.068,5242.497,5318.387,5589.795,5557.74,5676.876,6124.479,6366.706,6542.585,6706.266,6866.114,7054.084,7247.828,7446.817
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6469.793,6096.776,6083.779,6106.71,6249.746,6423.08,6682.579,7040.645,7497.943,7407.29,7613.64,7918.01,8526.557,9289.24,10123.363,11134.114,12039.041,12148.168,12790.324,13421.049,13662.028,14353.831,15174.541,15948.551,16611.795,17161.136,18460.456,20222.53,19962.179,22372.553,24572.272,25718.08,26911.822,28720.333,30755.528,32933.991,35270.484,37778.894
Norway,13391.354,14839.23,15734.099,16951.144,18574.3,20160.889,21322.16,22105.093,22705.131,23770.467,25037.701,26531.893,27941.757,29243.807,31207.965,33022.655,35135.045,37454.118,38647.155,39713.091,41704.442,43345.869,44352.095,45399.227,48214.547,50702.3,53093.088,55529.257,56094.776,54709.513,55065.791,56081.964,57920.542,58825.823,60363.758,61471.597,62219.919,64426.949,70095.235,70821.812,67047.031,89096.34,97238.457,100153.712,103446.04,106540.416,109625.989,112674.256,115557.223,118482.144
Oman,6701.095,7928.438,9386.544,10501.799,11567.457,13666.361,13350.463,12362.456,13469.72,13614.673,16903.961,17881.183,19152.027,20115.441,20678.368,21524.746,22009.186,23265.743,23700.316,23675.32,25265.08,26570.295,26332.592,25829.886,26587.506,27668.091,29269.364,30908.481,33595.788,34613.564,34519.566,32984.163,33270.551,33456.964,33295.843,33875.242,33847.943,33453.068,37749.026,37035.31,35773.912,38829.195,41459.279,41558.705,41651.669,42361.898,43633.597,44772.201,45769.199,46783.727
Pakistan,929.237,1049.267,1163.93,1255.545,1315.803,1436.289,1517.359,1602.741,1721.006,1827.516,1927.115,2049.072,2196.315,2237.079,2324.668,2431.56,2574.666,2599.056,2654.952,2738.79,2841.627,2939.319,2989.883,3129.469,3377.82,3671.884,3903.35,4112.755,4272.998,4240.483,4283.33,4403.03,4516.431,4655.283,4786.186,4893.305,5016.639,5212.16,5387.193,5434.295,5435.73,5774.486,6440.866,6530.888,6715.296,6921.519,7192.132,7479.16,7807.175,8149.67
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8480.582,9160.249,9694.389,9492.021,10047.73,10632.285,11153.379,11766.449,11588.109,11055.815,11279.443,12221.62,12926.991,12884.784,13635.954,14975.681,15353.922,15095.172,15497.519,15990.447,15238.285,14099.734,14858.757,15539.461,17207.326,19005.971,20564.509,21451.649,22304.613,23145.649
Panama,4909.29,5728.96,6258.592,6069.621,6313.8,6684.258,6909.016,6803.988,5973.322,6174.221,6783.572,7511.759,8139.003,8604.465,8853.357,9010.837,9652.243,10243.633,10894.135,11247.646,11581.722,11672.278,11882.265,12385.55,13414.86,14553.479,15985.932,18077.429,19885.527,19907.922,20964.123,23420.943,25749.558,27536.024,28964.649,30426.259,31744.641,33611.253,32523.617,33337.593,27123.037,30994.566,36307.886,39846.203,41292.258,42772.292,44765.321,46842.796,49014.446,51287.361
Papua New Guinea,1073.998,1157.827,1211.706,1273.774,1278.622,1333.423,1407.587,1504.428,1556.337,1527.91,1470.798,1615.941,1743.601,1972.108,2168.425,2081.54,2201.191,2043.827,2109.467,2125.425,2068.109,2061.4,2040.351,2215.263,2234.379,2346.61,2423.197,2622.035,2604.24,2735.61,2868.444,2749.484,2792.364,2808.946,3091.334,3167.783,3213.837,3226.699,3135.6,3172.532,2965.522,2931.087,3234.321,3375.533,3542.298,3662.296,3778.844,3884.051,3993.668,4106.646
Paraguay,3378.507,3919.898,3984.618,3897.929,4031.626,4194.53,4158.283,4298.486,4566.884,4867.597,5257.811,5282.707,5384.863,5668.911,5975.917,6387.121,6474.294,6728.038,6672.124,6540.618,6403.309,6371.675,6351.817,6637.423,6969.631,7217.195,7667.979,8167.444,8723.785,8617.038,9539.284,9998.014,9959.053,10804.665,11404.85,11678.249,12115.241,12741.175,12884.952,12888.199,13028.592,14004.772,14826.675,15869.085,16642.23,17357.128,18057.323,18782.388,19535.675,20319.406
Peru,2947.932,3319.58,3428.963,3154.894,3314.806,3412.041,3814.746,4118.513,3778.328,3328.082,3210.862,3325.491,3317.372,3506.481,3947.802,4251.247,4369.882,4647.288,4599.18,4657.374,4821.535,4900.169,5192.528,5463.75,5838.132,6346.522,6981.161,7729.352,8543.19,8633.636,9398.079,10123.736,10867.551,11608.456,11979.71,12339.149,12753.476,13072.09,13515.512,13977.26,12964.509,15338.055,16689.71,17024.651,17775.18,18388.591,18975.164,19574.522,20195.152,20833.227
Philippines,1783.865,1969.751,2114.246,2183.192,2045.639,1908.902,1966.042,2050.372,2215.83,2388.643,2495.169,2509.827,2518.775,2574.227,2681.785,2798.902,2870.724,3003.588,2948.356,3024.713,3230.47,3332.049,3437.004,3609.402,3872.407,4111.514,4380.317,4705.546,4916.131,4931.497,5266.646,5490.738,5882.436,6285.836,6697.194,7080.086,7531.381,8068.549,8650.556,9216.444,8455.74,9100.877,10407.531,11281.377,12079.571,12913.367,13828.482,14815.741,15875.557,17005.477
Poland,4833.183,4718.972,4724.318,5111.578,5231.409,5563.514,5837.743,6088.981,6504.611,7010.355,6687.181,6412.269,6674.297,7104.102,7620.087,8303.314,8976.174,9770.44,10366.922,10987.288,11838.398,12253.847,12627.785,13335.831,14387.294,15365.548,16817.926,18508.66,19662.618,20333.421,21247.489,22755.459,23536.663,24143.1,25536.087,26911.448,27997.848,29959.579,32025.988,35481.053,36265.505,41198.045,46855.399,48799.413,51628.831,54497.596,57500.833,60472.567,63542.139,66691.102
Portugal,6484.218,7284.287,7853.566,8202.26,8377.481,8759.824,9224.466,10177.275,11110.359,12331.675,13828.753,14812.373,15636.302,15877.439,16413.756,17085.259,17940.17,18967.775,20001.85,20958.448,22095.277,22870.052,23276.689,23427.233,24428.993,25344.967,26503.283,27848.955,28435.008,27690.737,28501.23,28637.958,28101.34,28471.722,29354.98,30283.477,31287.183,33044.677,34928.566,37845.218,35874.813,39036.346,44655.973,47226.151,49236.504,51256.666,53387.144,55558.026,57797.529,60095.989
Puerto Rico,6292.299,6904.32,7046.872,7291.847,8033.316,8377.273,9152.157,9739.246,10625.038,11460.191,12214.765,12835.328,13634.052,14502.065,15317.758,16224.391,16768.163,17740.533,18943.979,19879.525,20838.208,23274.83,24118.437,25154.605,26338.867,26663.448,27213.277,27787.936,27964.469,27738.46,28101.436,28910.829,29816.392,30579.218,31247.54,31751.901,32231.669,32937.078,34661.823,37379.839,38284.845,41354.326,45883.225,47717.536,49594.095,50342.863,51483.234,53219.591,54794.131,56528.059
Qatar,56086.023,54463.002,49289.381,45257.232,50988.546,43310.308,43625.703,43280.393,45084.861,47485.915,35983.12,35983.03,40267.888,40656.593,42060.005,42576.485,44191.288,55580.37,59617.169,60349.401,63608.654,65955.012,69544.851,70339.419,78926.978,76976.46,86251.919,87908.876,78088.307,84230.748,95907.689,107842.25,108757.812,106802.179,103484.86,99463.85,96375.658,92838.573,102879.592,101336.79,81003.34,106491.281,111396.216,111789.459,115074.541,118761.722,127350.441,139211.526,146029.177,150287.476
Romania,5295.323,5767.738,6332.919,6947.639,7599.397,7796.506,8101.592,8321.376,8527.013,8317.349,8134.615,7333.702,6869.64,7179.208,7667.597,8437.218,8980.843,8628.537,8346.979,8407.587,8850.156,9532.268,10512.251,11075.232,12621.099,13712.953,15360.828,17019.563,19416.936,18635.021,18255.719,19566.218,20418.366,20900.912,22221.97,23226.311,24251.35,26867.612,29477.976,33476.585,34181.727,37813.541,42525.741,44974.057,47203.733,49943.598,53082.67,56423.915,59830.903,63489.927
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12757.442,12493.621,10914.894,10206.91,9104.043,8915.733,8766.589,9055.431,8684.472,9395.419,10618.878,11458.28,12244.827,13465.93,14875.94,16386.143,18330.602,20472.076,21971.026,20371.457,21539.793,22835.402,24135.854,24903.206,25052.774,24709.731,24921.954,25777.812,28448.51,30963.855,31490.712,38938.47,41335.869,44512.053,47298.706,48956.824,50627.98,52352.607,54135.554,55973.227
Rwanda,419.804,454.161,453.373,481.346,550.055,572.927,596.091,588.54,590.307,559.419,569.346,546.491,595.44,582.063,372.728,501.879,576.836,643.998,646.554,611.348,659.95,713.54,800.134,813.643,866.637,955.354,1051.557,1137.414,1247.91,1306.647,1376.841,1487.418,1601.601,1665.511,1756.232,1884.158,1968.243,2033.333,2195.48,2411.965,2357.497,2815.21,3190.211,3510.651,3746.809,3975.983,4234.428,4525.744,4856.932,5213.97
Saint Kitts and Nevis,2820.518,3181.416,3597.805,3678.331,4200.675,4638.296,5181.412,5786.425,6658.033,7394.058,8160.036,8647.567,9037.029,9623.753,10223.827,10660.156,11349.308,12232.52,12334.177,12829.369,14193.334,15108.914,15460.411,15090.637,16064.15,18123.728,19210.37,19789.805,22358.808,21676.255,21895.577,22623.208,22855.667,24550.345,26860.166,27303.711,28642.162,29161.227,30300.523,31944.707,26883.464,26419.667,31248.216,33051.45,35275.591,37396.32,39471.031,41382.039,43284.775,45287.307
Saint Lucia,2429.815,2757.916,2951.747,3150.586,3476.822,3976.058,4569.394,4796.262,5578.843,6237.55,7018.832,7184.232,7815.664,7929.764,8121.187,8337.498,8646.205,8650.864,9214.98,9509.977,9654.319,9470.195,9585.565,10113.626,11059.55,11280.715,12299.439,12797.685,13595.046,13333.027,13464.879,14309.654,14438.725,14287.71,14656.285,14687.987,15322.905,16056.229,17348.082,18613.405,14830.239,18981.093,24326.616,25597.791,27051.657,28080.385,29085.38,29958.689,30771.523,31606.772
Saint Vincent and the Grenadines,1845.479,2095.07,2305.36,2429.048,2662.879,2896.316,3098.696,3168.37,3719.292,3899.411,4180.859,4337.821,4713.734,5024.274,5061.21,5561.69,5729.309,6024.877,6333.909,6589.439,6840.657,7098.287,7551.092,8162.543,8686.357,9151.646,10039.298,10617.55,10856.268,10777.31,10430.15,10568.314,10866.046,11297.384,11599.488,12005.986,12594.509,12989.216,13946.354,14446.349,14343.262,15039.353,16599.59,18174.58,19425.032,20546.688,21490.565,22451.9,23455.168,24503.547
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2687.816,2696.54,2883.982,3149.875,3360.157,3583.35,3769.601,4119.976,4309.957,4419.625,4633.778,4605.117,4743.381,4986.695,4848.074,4893.873,4982.72,5179.273,5597.522,5728.387,5728.879,5961.186,5923.682,5709.589,5745.845,6316.219,6998.213,7324.889,7543.636,7737.383,7925.815,8118.928
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,57390.705,59931.602,63333.533,68790.118,68960.361,61565.872,57951.814,53463.181,49926.11,49767.613,49714.517,51068.473,52488.617,53289.786,56169.269,59183.15,56761.032,65376.104,75338.001,78121.941,80304.609,82578.756,84882.751,87117.981,89581.467,92115.669
Saudi Arabia,37232.399,39970.306,33906.593,29866.184,28288.352,25787.71,25305.677,23923.058,25143.11,24987.068,27013.704,28712.114,29943.808,30000.696,30160.002,30116.05,30888.881,31447.027,31874.812,31318.053,32700.131,32712.84,32167.707,34787.183,37835.619,40308.352,41855.019,42842.075,45231.6,43899.458,44338.597,47999.712,49416.971,48817.433,50312.646,50386.795,49919.184,51237.778,56700.065,56188.195,45434.472,55768.27,61440.746,61932.611,63117.954,65884.713,68658.173,70998.794,73342.686,75786.24
Senegal,1023.165,1145.476,1275.646,1219.583,1273.172,1316.921,1344.219,1417.75,1415.523,1484.725,1486.288,1532.335,1544.175,1555.432,1541.127,1625.298,1643.935,1676.705,1755.12,1842.8,1912.037,1990.932,1974.549,2074.174,2173.462,2279.194,2342.533,2409.495,2479.474,2494.764,2540.065,2555.371,2632.776,2666.487,2802.026,2924.791,3053.32,3246.034,3393.045,3660.65,3758.161,4185.161,4538.232,4786.495,5056.15,5476.126,5696.994,5937.369,6193.428,6387.676
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5944.65,6472.729,7085.914,7658.64,8173.701,9172.639,10013.501,10892.292,11956.189,12930.661,12705.845,13006.465,13647.925,13874.439,14589.543,14678.92,15160.103,15898.14,16611.055,17717.93,19688.953,20066.296,22575.326,25433.703,27183.331,29038.902,30908.809,32879.676,34977.387,37141.833,39455.612
Seychelles,4231.326,4398.288,4546.514,4701.129,5050.535,5700.154,5822.811,5997.877,6515.783,7423.282,8234.709,8632.493,9419.222,10133.319,9831.913,9939.512,10971.279,12375.26,12574.798,12738.778,13460.721,13439.445,13559.84,13004.377,13021.533,14572.713,16095.537,18160.867,17722.02,17566.964,18383.846,20357.888,21318.951,22648.015,23757.054,25614.208,28789.615,31125.941,32516.479,34650.822,31455.715,30350.602,37054.485,39248.893,41077.691,43070.407,44962.345,46936.06,49022.302,51212.133
Sierra Leone,1354.352,1474.161,1560.41,1559.379,1633.76,1541.084,1539.785,1580.975,1635.432,1742.666,1809.228,1709.494,1580.132,1625.477,1725.942,1587.615,1213.506,1011.911,1004.02,918.57,949.152,1105.976,1359.43,1459.924,1546.979,1638.89,1711.384,1774.505,1834.183,1828.257,1991.581,2128.199,2262.572,2462.496,2435.457,2330.876,2410.296,2495.803,2607.482,2675.95,2697.228,2832.351,3130.997,3359.662,3505.131,3655.402,3817.912,3986.918,4163.507,4346.725
Singapore,8842.416,10222.423,11125.835,12388.591,13702.804,14028.904,14517.24,16237.367,18234.721,20270.928,22213.895,23813.918,25205.144,28040.967,30835.055,32730.851,34393.678,36645.105,35034.428,37262.942,40837.77,40210.732,42052.208,45498.783,50727.313,54867.014,59753.697,64179.146,63181.239,61761.186,70331.119,74670.298,77509.154,81298.828,84861.042,87158.004,89968.818,95628.241,103899.679,105542.414,101612.09,131864.092,141913.163,141553.675,148185.776,153608.798,159323.851,165037.474,170892.471,177229.003
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7544.644,8138.092,8912.912,9685.961,10347.084,10872.255,11002.684,11372.067,12050.845,12789.599,13769.741,14894.734,16376.82,18314.85,20847.601,22421.846,21304.242,22977.292,24068.795,24785.687,25336.476,26448.015,28044.864,28835.629,30163.883,31390.855,33966.575,35007.86,37703.99,41337.183,43555.921,45632.207,47438.529,49559.857,51907.371,54389.494,56811.517
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11880.482,12565.416,13513.934,14361.016,15044.081,16121.465,16819.617,18016.027,18978.187,19930.956,20863.915,21944.512,23542.446,25201.891,27434.992,30084.581,31699.852,29153.966,29623.436,30385.125,29970.879,30181.077,31520.456,32546.117,33830.836,36188.66,38751.258,42525.562,41897.915,46254.489,50933.177,53631.545,55683.968,58153.252,60710.372,63380.493,66174.395,69098.772
Solomon Islands,967.062,1005.209,1015.317,1061.182,1067.29,1034.664,1022.969,1104.758,1126.199,1186.888,1215.986,1289.099,1439.008,1485.148,1591.032,1736.69,1746.584,1712.457,1707.51,1678.7,1422.093,1294.83,1237.824,1303.496,1385.43,1464.394,1538.799,1605.73,1685.758,1694.792,1810.91,1928.473,1938.335,2020.867,2027.965,2029.93,2111.124,2163.114,2221.31,2245.992,2155.352,2266.28,2438.28,2554.413,2626.655,2690.227,2760.892,2843.522,2929.674,3019.739
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1652.846,1727.66,1756.849,1804.017,1748.975,1896.331,1714.804,1726.714,1638.928,1583.397,1695.081,1780.276,1844.086,1899.506,1959.223,2020.453,2087.506,2160.943
South Africa,4839.799,5441.363,5608.792,5575.093,5920.074,5892.424,5878.449,6020.376,6357.938,6620.661,6694.005,6686.387,6526.387,6597.894,6793.258,7000.519,7297.829,7490.689,7497.468,7671.622,8052.92,8304.166,8585.856,8930.722,9487.631,10182.338,10952.147,11701.985,12142.636,11859.094,12187.402,12633.431,12965.711,13295.661,13495.807,13582.862,13599.946,13802.902,13434.461,13464.726,12789.212,13905.876,15005.365,15423.596,15723.251,16008.699,16304.263,16612.014,16910.571,17219.822
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,922.254,450.779,564.729,565.616,552.712,469.974,437.974,571.679,582.824,625.73,1022.662,1009.485,1042.097,762.925,960.241,1187.674,1232.619,1279.566,1328.792
Spain,8338.07,9004.227,9627.514,10122.347,10623.421,11178.769,11761.201,12711.045,13825.353,15056.473,16192.389,17117.428,17598.287,17723.527,18474.848,19593.781,20388.445,21484.979,22618.12,23903.196,25464.915,26918.352,27645.506,28487.838,29697.057,31132.51,32865.672,34272.234,34628.108,33251.004,33545.805,33892.891,33512.922,33721.515,34934.38,36726.485,38123.462,39858.065,41061.87,44055.069,39330.971,44169.787,49944.642,52907.924,55089.205,56659.487,58158.975,59608.62,61142.811,62774.446
Sri Lanka,1087.114,1236.872,1364.85,1448.404,1584.563,1698.991,1789.681,1842.329,1939.31,2040.108,2224.508,2518.082,2466.443,2685.213,2935.16,3152.169,3575.893,3989.395,3947.813,4097.169,4515.02,4494.648,4697.155,5031.776,5402.584,5871.988,6467.279,7041.748,7550.451,7811.329,8481.77,9344.199,10326.39,10842.729,11626.166,12115.637,12707.666,13616.185,14178.023,14112.953,12940.904,14316.135,14058.023,no data,no data,no data,no data,no data,no data,no data
Sudan,1102.935,1246.228,1338.877,1332.607,1244.842,1241.443,1354.317,1437.316,1522.4,1564.827,1538.454,1652.168,1731.89,1769.245,1817.546,2092.342,2196.02,2320.522,2488.862,2579.053,2794.279,3088.257,3241.297,3419.049,3597.764,3828.4,4097.683,4337.296,4474.57,4266.628,4371.443,5306.243,4179.547,4200.981,4338.349,4456.487,4571.885,4553.347,4580.248,4247.575,4454.8,3761.245,3829.108,3158.077,2512.814,2700.716,3041.997,3228.963,3387.492,3513.442
